customer_unique_id,recency,frequency,monetary,delay,installments,review_score,comment_title,comment_message,pop_payment_type,pop_category
0000f46a3911fa3c0805444483337064,204,1,86.22,-2.0,8.0,3.0,0,0.0,credit_card,papelaria
0005e1862207bf6ccc02e4228effd9a0,210,1,150.12,-28.0,3.0,4.0,0,0.0,credit_card,fashion_bolsas_e_acessorios
0006fdc98a402fceb4eb0ee528f6a8d4,74,1,29.0,-12.0,2.0,3.0,0,1.0,credit_card,cama_mesa_banho
000a5ad9c4601d2bbdd9ed765d5213b3,50,1,91.28,-15.0,3.0,4.0,0,0.0,credit_card,beleza_saude
000bfa1d2f1a41876493be685390d6d3,1,2,93.7,-13.0,4.0,4.5,0,0.5,credit_card,fashion_bolsas_e_acessorios
000de6019bb59f34c099a907c151d855,44,2,514.88,-16.0,4.0,2.0,0,1.0,credit_card,cama_mesa_banho
0010a452c6d13139e50b57f19f52e04e,81,1,325.93,-19.0,10.0,1.0,0,1.0,credit_card,casa_conforto
001147e649a7b1afd577e873841632dd,30,2,424.32,-14.0,1.0,4.0,0,0.0,credit_card,utilidades_domesticas
00115fc7123b5310cf6d3a3aa932699e,252,1,76.11,-33.0,1.0,4.0,0,0.0,credit_card,esporte_lazer
0011805441c0d1b68b48002f1d005526,159,1,297.14,-13.0,10.0,3.0,0,0.0,credit_card,informatica_acessorios
0011857aff0e5871ce5eb429f21cdaf5,94,1,192.83,-20.0,3.0,5.0,0,1.0,credit_card,malas_acessorios
0011c98589159d6149979563c504cb21,56,1,117.94,-28.0,5.0,5.0,0,1.0,credit_card,eletroportateis
00191a9719ef48ebb5860b130347bf33,164,1,58.86,-19.0,2.0,3.0,0,0.0,credit_card,cama_mesa_banho
001926cef41060fae572e2e7b30bd2a4,44,2,182.42,-21.0,1.0,4.0,0,0.0,credit_card,eletronicos
001a2bf0e46c684031af91fb2bce149d,93,1,36.73,-18.0,1.0,4.0,0,0.0,credit_card,utilidades_domesticas
001f3c4211216384d5fe59b041ce1461,195,1,35.84,-11.0,3.0,3.0,0,0.0,credit_card,utilidades_domesticas
002043098f10ba39a4600b6c52fbfe3c,188,1,237.81,-16.0,4.0,4.0,0,0.0,credit_card,moveis_escritorio
002b4cd83fabaffaa475f78ea5ef3e08,241,1,64.42,-28.0,1.0,2.0,0,1.0,credit_card,fashion_bolsas_e_acessorios
002d71b244beb91ca7030b15ab526446,131,1,130.56,-12.0,1.0,5.0,0,1.0,boleto,livros_interesse_geral
002eb8b96288f3804e21d2777ac29895,70,1,137.99,-12.0,6.0,5.0,0,0.0,credit_card,beleza_saude
003035f5ec76f2220098377482de93c9,33,1,62.47,-11.0,3.0,5.0,0,0.0,credit_card,consoles_games
00324c9f4d710e7bac5c5ba679714430,101,2,109.78,-17.0,4.0,5.0,0,0.0,credit_card,utilidades_domesticas
0032c76b20340da25249092a268ce66c,359,1,144.94,-27.0,1.0,4.0,0,1.0,credit_card,brinquedos
0036a074f98b80c4f1fc33dbbcf9c552,141,1,42.62,-14.0,1.0,5.0,0,1.0,boleto,utilidades_domesticas
0036b4a3d09ad551a5188c2e374da402,52,1,162.77,-13.0,10.0,4.0,0,0.0,credit_card,moveis_decoracao
0037d2bbb9ebc39d9114aea27ee16d72,187,1,143.73,-51.0,1.0,5.0,0,1.0,boleto,moveis_decoracao
0037eb1ff742ee2e71ba887f65f3c6f3,79,1,228.79,-21.0,5.0,5.0,0,0.0,credit_card,utilidades_domesticas
003e28cb6fab8a0901bff9229612375f,201,1,137.26,-19.0,1.0,5.0,0,0.0,credit_card,brinquedos
004288347e5e88a27ded2bb23747066c,65,1,251.09,-14.0,2.0,5.0,0,1.0,credit_card,cool_stuff
0043d65f8039b4a4d43bc7b0f450ac2c,163,1,64.42,-13.0,3.0,5.0,0,0.0,credit_card,cama_mesa_banho
00444f48f6c9b55657e49435ce3a97ca,113,1,52.38,-11.0,4.0,4.0,0,0.0,credit_card,informatica_acessorios
00446a03d7a34d191507c9e42870d0a5,208,1,128.95,-14.0,8.0,5.0,0,0.0,credit_card,cama_mesa_banho
0046311f458d8041b00063cb99482903,60,1,112.33,78.0,4.0,5.0,0,0.0,credit_card,brinquedos
0047f3e16441284d757a8963344f6c59,33,1,76.18,-9.0,1.0,4.0,0,1.0,credit_card,pet_shop
0049dadc30da6a277c1e9d371df5a66f,109,1,26.01,-1.0,1.0,3.0,0,1.0,credit_card,utilidades_domesticas
0049db44bfd6cee26ac9c649329ff6ea,207,2,218.08,-7.0,1.0,2.0,0,0.0,debit_card,moveis_decoracao
004b45ec5c64187465168251cd1c9c2f,29,1,97.87,-13.0,1.0,1.0,0,1.0,boleto,ferramentas_jardim
004ed862ea4e55f18868d3d782d10879,55,1,109.29,-19.0,1.0,3.0,0,0.0,boleto,malas_acessorios
00522457bba00bba576a34fd9b4808fd,182,1,127.98,-14.0,2.0,5.0,0,1.0,credit_card,moveis_sala
0055b522bc89cbfbf376d8b59a628470,211,1,364.75,-22.0,1.0,5.0,0,1.0,boleto,eletroportateis
0059acd36094bf670ec8b21be6c0044c,110,1,46.69,-15.0,1.0,5.0,0,0.0,boleto,eletronicos
005e32bc930906dc6b65fb9d11cce3e2,27,1,49.6,-28.0,4.0,5.0,0,0.0,credit_card,utilidades_domesticas
005ff4ebe100db3eebbe6f7b19a8f99a,17,1,236.81,-4.0,4.0,5.0,0,1.0,credit_card,moveis_escritorio
006031108b00e5f73b2426a50b50f9c0,27,1,204.83,-10.0,10.0,5.0,0,0.0,credit_card,cama_mesa_banho
0066b328e72fd82fd7420bf849c0e8b4,26,1,94.35,-4.0,1.0,4.0,0,1.0,boleto,esporte_lazer
006d763076d74d16d66e828e79ec1544,56,1,99.32,-11.0,9.0,5.0,0,0.0,credit_card,cool_stuff
00704e915ae0d4a236eace0267454cf9,61,1,123.39,-8.0,1.0,4.0,0,0.0,boleto,esporte_lazer
00765d375af0e700f61c57db00a8ee63,51,1,215.01,-9.0,10.0,5.0,0,1.0,credit_card,cama_mesa_banho
0076a71311bb2386a353f5ba87d2aa29,64,1,70.53,-21.0,1.0,5.0,0,0.0,boleto,brinquedos
00776f3807b128beca64cd0b27138d92,9,1,321.57,-3.0,4.0,3.0,0,1.0,credit_card,malas_acessorios
007953b3182d5ccc9189a694f5c68163,168,1,112.08,2.0,2.0,1.0,0,1.0,credit_card,cool_stuff
007ad549acb91673f04eac22c0568114,4,1,90.85,-16.0,1.0,5.0,0,1.0,credit_card,moveis_decoracao
00842c7d0cedb9e1edad8e9b7d148f09,178,1,64.55,-9.0,1.0,5.0,0,0.0,boleto,moveis_decoracao
008778a1591d49f6b2464dffaa4fa662,73,1,260.55,-11.0,10.0,5.0,0,1.0,credit_card,beleza_saude
0087eede471173af78d789df249c3a45,226,1,151.11,-19.0,1.0,5.0,0,0.0,boleto,ferramentas_jardim
008d17333e414049279c7822dfd5f019,38,1,132.05,-17.0,7.0,5.0,0,0.0,credit_card,beleza_saude
008f3d5f45a11059239a5c452cd00006,247,1,336.56,-28.0,1.0,5.0,0,1.0,boleto,perfumaria
008fb2ecc75561d202dd4db2e0ceec25,122,1,40.77,-4.0,4.0,5.0,0,0.0,credit_card,telefonia_fixa
009062f98089a091615b5c9faa13de26,18,1,30.27,-12.0,3.0,5.0,0,1.0,credit_card,ferramentas_jardim
009210a1646725341917560a13f7799f,59,1,25.85,-11.0,1.0,5.0,0,0.0,boleto,brinquedos
009301957bc7714394865c44650d8060,99,1,93.78,-7.0,3.0,2.0,0,1.0,credit_card,perfumaria
0093c499f4f9c0e169ead490aa62ce3e,110,1,226.22,-9.0,2.0,5.0,0,1.0,credit_card,cama_mesa_banho
00941614a654458b888b8780815bd26c,185,1,185.83,-7.0,4.0,5.0,0,0.0,credit_card,fashion_underwear_e_moda_praia
009671b5dc80cdf32aeb5850868ba81c,101,1,110.72,-8.0,3.0,5.0,0,1.0,credit_card,cool_stuff
0096c18412349537abc45e350581cbbc,200,4,3080.96,-13.0,8.0,1.0,0,1.0,credit_card,utilidades_domesticas
0096c9cb600a08e601f7c2be6734531a,64,1,186.92,-10.0,2.0,5.0,0,0.0,credit_card,moveis_decoracao
00970787f181925ba33bd32b3817f742,14,1,35.4,-4.0,2.0,2.0,0,1.0,credit_card,esporte_lazer
0098f4847541cc7d676f9a5efc64c0f0,166,1,147.55,-21.0,3.0,5.0,0,0.0,credit_card,pet_shop
009e70fcdd4ea3769c73210414e73c64,103,1,49.69,0.0,1.0,2.0,0,1.0,credit_card,bebes
00a218ea82c458456098caa1c4a7e796,213,1,66.99,-9.0,1.0,4.0,0,0.0,boleto,informatica_acessorios
00a6ee75a90222405df9d8d59babc513,86,1,60.05,-16.0,1.0,5.0,0,0.0,boleto,esporte_lazer
00a7d14cb10e11b7f7d65120a7e3942f,171,1,64.42,-21.0,1.0,2.0,0,0.0,credit_card,esporte_lazer
00ac9cd5c4ad19e16e7c6f6864711737,155,1,231.45,-23.0,8.0,5.0,0,0.0,credit_card,malas_acessorios
00ad5165112e0e9a91a23b1132716584,186,1,100.54,-20.0,1.0,5.0,0,0.0,credit_card,malas_acessorios
